"Artist","EndDate","Period"
"Edouard-Léon-Louis Edy-Legrand",1970,"Pop Art/Minimalism"
"Barnett Newman",1970,"Pop Art/Minimalism"
"Eugène Atget",1927,"Dada/Surrealism"
"Edward Burne-Jones",1898,"Realism/Impressionism"
"Frédéric Bruly Bouabré",2014,"Contemporary Art"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Gustave Doré",1883,"Realism/Impressionism"
"Keith Sonnier",2020,"Contemporary Art"
"Jean Dubuffet",1985,"Postmodernism/Y2K Resurgence"
"Edward Weston",1958,"Abstract Expressionism"
"Henri Laurens",1954,"Abstract Expressionism"
"Lauretta Vinciarelli",2012,"Contemporary Art"
"Maurice Denis",1943,"Abstract Expressionism"
"Kurt Schwitters",1948,"Abstract Expressionism"
"Alexander Calder",1976,"Pop Art/Minimalism"
"Marianne Wex",2020,"Contemporary Art"
"Christian Boltanski",2021,"Contemporary Art"
"Robert Colquhoun",1962,"Pop Art/Minimalism"
"Massimo Vignelli",2014,"Contemporary Art"
"James Bishop",2021,"Contemporary Art"
"John Thomson",1921,"Dada/Surrealism"
"José-Guadalupe Posada",1913,"Cubism/Futurism"
"Giorgio de Chirico",1978,"Pop Art/Minimalism"
"Robert Watts",1988,"Postmodernism/Y2K Resurgence"
"Kees van Dongen",1968,"Pop Art/Minimalism"
"Ellsworth Kelly",2015,"Contemporary Art"
"James Prestini",1993,"Postmodernism/Y2K Resurgence"
"Eugène Atget",1927,"Dada/Surrealism"
"Joyce Treiman",1991,"Postmodernism/Y2K Resurgence"
"Hans Bellmer",1975,"Pop Art/Minimalism"
"Alexander Brook",1980,"Postmodernism/Y2K Resurgence"
"David Octavius Hill",1870,"Realism/Impressionism"
"Max Ernst",1976,"Pop Art/Minimalism"
"Preston Dickinson",1930,"Dada/Surrealism"
"Alberto Greco",1965,"Pop Art/Minimalism"
"Naum Gabo",1977,"Pop Art/Minimalism"
"Gordon Matta-Clark",1978,"Pop Art/Minimalism"
"Henri Michaux",1984,"Postmodernism/Y2K Resurgence"
"Georg Teltscher",1983,"Postmodernism/Y2K Resurgence"
"Giuseppe Santomaso",1990,"Postmodernism/Y2K Resurgence"
